Date,Volume,Price
2013-05-20,4564.019716,118.94
2013-05-21,3766.454469,118.56
2013-05-22,7421.416192,119.49
2013-05-23,10471.90696,124.13
2013-05-24,13133.00069,129.94
2013-05-25,4687.153328,129.73
2013-05-26,3972.866012,130.36
2013-05-27,7993.526572,130.6
2013-05-28,5339.798973,127.11
2013-05-29,10078.72205,130.4
2013-05-30,9333.4434,131
2013-05-31,5812.767807,129.87
2013-06-01,3270.307028,128.86
2013-06-02,16169.79116,128.8
2013-06-03,8114.979019,125.01
2013-06-04,7507.738649,123.5
2013-06-05,4939.50013,122.74
2013-06-06,5407.01452,121.28
2013-06-07,18477.7505,118.12
2013-06-08,5564.678455,112.46
2013-06-09,32672.35884,108.96
2013-06-10,10768.17358,107.9
2013-06-11,4770.227673,108
2013-06-12,7878.21985,111.18
2013-06-13,9191.480167,108.43
2013-06-14,9466.227972,102.95
2013-06-15,4097.860204,105
2013-06-16,3008.840883,101.11
2013-06-17,4959.028399,102.28
2013-06-18,10827.78029,108.18
2013-06-19,5240.488645,107.5
2013-06-20,14500.1664,108
2013-06-21,7307.842249,104.2
2013-06-22,3212.781256,103
2013-06-23,2000.519028,101.45
2013-06-24,11131.94757,102.3
2013-06-25,3759.916755,100.98
2013-06-26,4860.524994,99.57
2013-06-27,9112.63844,98.47
2013-06-28,15401.69211,97.45
2013-06-29,3354.703617,91.61
2013-06-30,2352.42672,90.3
2013-07-01,23344.64817,90.14
2013-07-02,11982.20444,89.56
2013-07-03,22678.60274,88.45
2013-07-04,18993.97462,83.9
2013-07-05,34042.81238,79.29
2013-07-06,15602.37309,72.88
2013-07-07,10381.35072,75
2013-07-08,14932.11898,76.94
2013-07-09,16397.48043,76.01
2013-07-10,31551.54529,89.96
2013-07-11,17791.1802,90.67
2013-07-12,27809.83498,100
2013-07-13,5578.134991,92.49
2013-07-14,5030.075745,93
2013-07-15,12853.28921,95
2013-07-16,9988.877921,93.69
2013-07-17,7208.364218,92.23
2013-07-18,21227.53706,90
2013-07-19,8397.59362,88
2013-07-20,4269.117382,87.07
2013-07-21,3146.620031,86.99
2013-07-22,8141.29011,87.08
2013-07-23,13321.38153,88.88
2013-07-24,9132.930345,88.57
2013-07-25,10351.84748,90.66
2013-07-26,6617.234007,91.77
2013-07-27,3130.253007,89.77
2013-07-28,7900.631487,94.01
2013-07-29,10068.54179,93.78
2013-07-30,11730.2266,97.94
2013-07-31,17228.70895,101
2013-08-01,8340.714267,98.25
2013-08-02,14825.9001,98.71
2013-08-03,4456.467038,97
2013-08-04,3654.9871270999997,97
2013-08-05,10189.78179,98.92
2013-08-06,9555.055926,98.98
2013-08-07,7018.217402,98.32
2013-08-08,15235.34315,97.14
2013-08-09,10950.561696839999,94.7
2013-08-10,2828.954245,94.25
2013-08-11,2004.457936,94.6
2013-08-12,7351.778199,96.18
2013-08-13,14225.14387,98.35
2013-08-14,16487.22238,101
2013-08-15,9947.054626,100.01
2013-08-16,8942.231467,99
2013-08-17,6163.115242,99.99
2013-08-18,3407.017839,99.99
2013-08-19,19595.95511,105.16
2013-08-20,14074.67599,106.55
2013-08-21,20926.09267,114
2013-08-22,12320.56559,113.02
2013-08-23,9110.890781,109.88
2013-08-24,4715.901771,110.33
2013-08-25,9181.568263,113.28
2013-08-26,13285.11631,114.99
2013-08-27,16435.00814,118.93
2013-08-28,10935.73024,119.63
2013-08-29,8860.92001,120
2013-08-30,17991.3081,126.14
2013-08-31,20258.57705,134.95
2013-09-01,8202.500701,132.09
2013-09-02,8206.590669,132
2013-09-03,11583.98793,131
2013-09-04,22057.06785,129.94
2013-09-05,16847.274240939998,127.5
2013-09-06,20969.64892,124.54
2013-09-07,7518.697231,122.16
2013-09-08,5889.213123,120.69
2013-09-09,21793.32807,124.13
2013-09-10,10189.80918,124.26
2013-09-11,21632.65653,127.99
2013-09-12,12320.88637,128.5
2013-09-13,8320.257511,128.79
2013-09-14,8526.586703,127.7
2013-09-15,5386.810855,126.25
2013-09-16,7668.656191,126.71
2013-09-17,8823.898488,127.69
2013-09-18,13543.804,128
2013-09-19,12041.18654,127.95
2013-09-20,9033.905689,125.66
2013-09-21,3717.164417,124.1
2013-09-22,2932.077477,123.95
2013-09-23,7757.598778,123.99
2013-09-24,11274.6368,124.86
2013-09-25,6832.919628,125
2013-09-26,8756.829327,125.5
2013-09-27,12872.38298,126.97
2013-09-28,5410.522037,127.58
2013-09-29,6352.839185,128.8
2013-09-30,11267.79187,127.53
2013-10-01,8582.531247,127.93
2013-10-02,68686.18953,127.8
2013-10-03,17881.22929,119.26
2013-10-04,11913.75499,122.98
2013-10-05,2912.724749,122.29
2013-10-06,4373.154175,122.74
2013-10-07,11491.94057,124.51
2013-10-08,13464.27379,125.18
2013-10-09,19115.774,127.99
2013-10-10,11322.947013590001,126.95
2013-10-11,8804.429623,127.59
2013-10-12,6517.718216740001,128
2013-10-13,18413.68011,138
2013-10-14,15665.25576,138.22
2013-10-15,23322.33217,147.39
2013-10-16,26689.85923,147
2013-10-17,15978.95989,145
2013-10-18,22968.6384,154.69
2013-10-19,37516.21765,172
2013-10-20,6927.160911,169
2013-10-21,33376.16027,184.96
2013-10-22,41122.29039,196.27
2013-10-23,24764.18517,205.17
2013-10-24,55950.90766,206.6
2013-10-25,32486.55518,190.01
2013-10-26,8295.571966,186
2013-10-27,10500.24416,195.5
2013-10-28,12378.05931,198.01
2013-10-29,16449.82328,205
2013-10-30,25619.88472,206
2013-10-31,13079.48293,203.75
2013-11-01,4836.187153,203.38
2013-11-02,7537.215022,205.15
2013-11-03,11758.8339,212.97
2013-11-04,28156.75375,231.75
2013-11-05,46642.96279,254.08
2013-11-06,39321.96561,277.9
2013-11-07,48627.61321,299.79
2013-11-08,47679.80344,347.93
2013-11-09,57861.49067,363.65
2013-11-10,46020.97016,330
2013-11-11,25340.45884,349.9
2013-11-12,25799.6575,368.3
2013-11-13,35546.11332,410.58
2013-11-14,28780.76613,421.97
2013-11-15,33321.56876,431.36
2013-11-16,16853.67153,447.98
2013-11-17,30846.01511,499.45
2013-11-18,72407.67972,755
2013-11-19,60714.89077,704.51
2013-11-20,49247.91606,619
2013-11-21,30839.81981,730
2013-11-22,25569.8433,821.33
2013-11-23,24784.04233,874.81
2013-11-24,13601.09257,842.78
2013-11-25,25175.67268,838.2
2013-11-26,28857.27969,919
2013-11-27,31488.62522,974
2013-11-28,35943.95118,1050.18
2013-11-29,21685.99081,1163
2013-11-30,14325.2478,1163
2013-12-01,62685.61658,1093.32
2013-12-02,28284.95139,1057
2013-12-03,11444.11146,1088
2013-12-04,14591.92962,1153.27
2013-12-05,59628.07986,1134
2013-12-06,69814.66551,1016
2013-12-07,62973.4133,830
2013-12-08,26908.83152,850
