type,id,name,lat,lon,cuisine,brand
node,6270207703,Velvet Lane Cakes,43.6505093,-79.3711902,,
node,6304072402,The Library Coffee,43.6453549,-79.4125613,coffee_shop,
node,6304072448,Dlish Cupcakes,43.6459512,-79.4096162,cupcake,
node,6306324871,Café Rouge Patisserie,43.6486068,-79.5064118,french,
node,6310887984,Java Joe's,43.6362303,-79.5395712,,
node,6314606862,Olga's Espresso Bar,43.6856445,-79.5235759,,
node,6315140372,Tim Hortons,43.6807773,-79.5093401,coffee_shop,Tim Hortons
node,6315140375,Bevo Espresso & Gelato Bar,43.6824504,-79.5105591,coffee_shop;ice_cream,
node,6315205511,Java Joe's,43.6624941,-79.532214,,
node,6315313405,Timothy's,43.6793836,-79.5472048,coffee_shop,Timothy's
node,6315343240,Starbucks,43.6750799,-79.5557718,coffee_shop,Starbucks
node,6318936234,Tim Hortons,43.6967251,-79.5462545,coffee_shop,Tim Hortons
node,6321380372,Aroma Espresso Bar,43.6120688,-79.5587823,coffee_shop,Aroma Espresso Bar
node,6323402036,% Arabica,43.6124975,-79.5579199,coffee_shop,% Arabica
node,6323420451,Second Cup,43.6119031,-79.5585321,coffee_shop,Second Cup
node,6323492985,Tim Hortons,43.6130031,-79.5590787,coffee_shop,Tim Hortons
node,6325961199,am bagel,43.6404551,-79.4466421,bagel,
node,6328179187,Super Bowls,43.6474297,-79.4492982,,
node,6328179207,Ed's Real Scoop,43.6449716,-79.4483601,ice_cream,
node,6329202858,Piedmont Coffee Bar,43.6683444,-79.3825456,coffee_shop;sandwich,
node,6332297823,Real Fruit Bubble Tea,43.7200196,-79.6010877,bubble_tea,Real Fruit Bubble Tea
node,6332343064,Tim Hortons,43.720956,-79.5999061,coffee_shop,Tim Hortons
node,6334228514,Real Fruit Bubble Tea,43.7414791,-79.5840983,bubble_tea,Real Fruit Bubble Tea
node,6334228529,Tim Hortons,43.7417625,-79.584173,coffee_shop,Tim Hortons
node,6334287551,Coffee Club,43.7420805,-79.5932152,,
node,6340610376,Hello Coffee,43.6628211,-79.4223534,,
node,6340696116,Filosophy Pastry & Expresso Bar,43.6619178,-79.4264967,,
node,6341002516,God Bless Canada,43.7009339,-79.519384,,
node,6341002527,Mati's Coffee,43.7008194,-79.5181151,,
node,6341447987,Sigad Cafe & Sweets,43.6977341,-79.5102488,,
node,6342175888,,43.6875347,-79.4913163,bubble_tea,
node,6343511085,ThirdPlace,43.6619601,-79.4250262,,
node,6345311521,Bunna Aroma,43.6590019,-79.4389395,,
node,6348259526,Weston Donuts,43.6848581,-79.4845627,,
node,6348433229,Panino Cappuccino,43.7385283,-79.5399867,,
node,6348434791,Caked Coffee,43.6553668,-79.4561975,coffee_shop,
node,6348638713,Tim Hortons,43.7524001,-79.5427711,coffee_shop,Tim Hortons
node,6348657383,Bar Comunale Sport,43.7537719,-79.5423961,,
node,6352818897,Avellino Social Club,43.7599941,-79.57117,,
