,C0,C1,C2,C3,C4,C5,C6
740,QZL2NrrhjHY,2418100,76311,1634,2195,False,False
741,2X1BQoM5_js,136873,1480,157,387,False,False
742,0MroWT4iN9o,84014,105,15,14,False,False
743,QK_iX5cPDhE,678272,19605,539,2560,False,False
744,zXHUHx4R9kI,1729622,108586,3975,7323,False,False
745,ycVc1jsaAA0,8267018,367668,5273,33808,False,False
746,4K8A3WJnYkI,169396,1702,80,228,False,False
747,ap5KamI-nRs,342174,12700,138,984,False,False
748,MqY-o3uuemo,736275,8201,411,912,False,False
749,YE0qGSCuHK8,115938,2139,179,840,False,False
750,1jFCPcG5CJA,590699,6017,246,3020,False,False
751,6cjU2dGuFjM,124756,595,144,30,False,False
752,3E6yqIkSW1c,974611,52796,1715,4740,False,False
753,MJg77yvjtW4,411018,1927,475,258,False,False
754,MtxSfrOI7Zo,137699,759,79,109,False,False
755,KspaKfSU49Y,814746,10629,231,1459,False,False
756,SDlSVE0X3Ao,514594,39967,472,14533,False,False
757,EJjh19zO1lk,1855095,29848,691,2485,False,False
758,MbyP-w4uOgk,1064943,38449,466,2335,False,False
759,bJB7-eL9xNc,451694,12327,261,2350,False,False
760,oQttQdTVAN8,123905,3285,90,1426,False,False
761,vSKEcHoouyA,314726,4741,686,2262,False,False
762,5bZ2yW9bDr4,1060809,12472,354,1155,False,False
763,8rqztDFvmZ8,1271178,53254,1641,8293,False,False
764,0l35jAGQPOI,5146567,415269,5337,48943,False,False
765,h39fZdU7174,319913,12634,271,1698,False,False
766,sjVBoBPiB-g,304163,1577,488,301,False,False
767,6c7aplyiJXQ,150634,4178,96,589,False,False
768,md7QC8bnunQ,508524,5481,668,2944,False,False
769,oe8BD55eYoA,557900,14265,751,1527,False,False
770,W692CShdNgI,86485,7645,236,1361,False,False
771,UPDm0WNYgkw,531639,21481,481,7766,False,False
772,r7ZSj8IbIqA,2321232,12236,1749,2050,False,False
773,6dy3Mi3iufQ,98374,7858,31,361,False,False
774,XF4_DvnNeCQ,460428,17936,1784,4301,False,False
775,RmJbi_3anCY,325117,1593,193,378,False,False
776,qbMLBCmdl6Q,6216,11,1,9,False,False
777,VWxnvPRa1aY,440964,4719,186,1765,False,False
778,b_RtkI6EUvY,550275,4448,201,2252,False,False
779,c0bsKc4tiuY,602939,37552,1259,1847,False,False
780,cB9_r4HSIK8,199520,2171,100,35,False,False
781,abT95p5iBkU,355862,6302,470,1310,False,False
782,dB2IV7ub2-o,12660,118,20,65,False,False
783,W2bov6kY7ko,120275,1233,99,67,False,False
784,dD5pu9Yv-zo,138110,0,0,991,False,True
785,nHO50-7l-Vg,1096441,39564,600,2623,False,False
786,_XHk_5kMWfk,97500,5146,67,510,False,False
787,mZKpOVRwCl8,447889,514,686,140,False,False
788,Gb-awe5B6nk,179337,772,72,67,False,False
789,AwS_DIMeVoM,857930,28239,187,1849,False,False
790,dHOTgIEmixc,1300579,36444,2196,4241,False,False
791,AFe7ZCUocwM,418028,18867,766,4658,False,False
792,NxL8Qv_bdMo,360838,1912,394,180,False,False
793,CUEH-vTUHcQ,2260491,52834,998,6661,False,False
794,JRAEzT6Xg60,165828,1204,126,185,False,False
795,_E0eli9kcFg,1270498,71502,917,5298,False,False
796,6EaDRhPm1DM,258869,4892,156,426,False,False
797,YpU0y6TMGSU,1983477,91407,2953,7545,False,False
798,srW1xcjCySI,367052,5365,725,351,False,False
799,rkkmTOj7wgw,24575,33,73,114,False,False
800,yvawgYe1hkk,841297,54022,1168,2536,False,False
801,#NAME?,219549,2037,142,638,False,False
802,cR6N3g2qJJQ,788966,21608,120,429,False,False
803,6IKiKV21gqE,97772,3070,139,575,False,False
804,tuONqBMf3XA,344244,15343,790,2602,False,False
805,5lC4IlTjVxk,1846670,26611,1282,1221,False,False
806,PeoixMRCrMk,565863,41330,278,3623,False,False
807,ujyTQNNjjDU,2642930,115795,3055,6410,False,False
808,EhL2OWXZ26s,3071771,194197,4948,22719,False,False
809,ySv0dkML5-I,29602,2269,48,765,False,False
810,DghVLzEhnFs,97001,6935,192,5417,False,False
811,nfWG9gCQ6z0,167821,6454,95,737,False,False
812,_NpiOJ_21Zg,1874998,80096,6339,13598,False,False
813,DbYe6U9Dljk,504252,23217,2852,7004,False,False
814,_o41z1YIs3Q,62906,332,14,22,False,False
815,6u4S5hC1aWk,406851,23981,1291,2855,False,False
816,TtyWh7GsP0Q,2274,176,2,27,False,False
817,wGV1Gl18rT0,602350,6108,276,786,False,False
818,rAmLzm4bb2I,373279,7545,374,1192,False,False
819,JN_rfagFBhI,893051,75198,892,2004,False,False
820,ooyjaVdt-jA,6886948,285349,164004,115501,False,False
821,wp6oQlb--Ks,5029936,44544,2200,961,False,False
822,w8nXQ4xbBps,30791,207,15,14,False,False
823,K0u_kAWLJOA,1727422,83372,1107,10657,False,False
824,7jrdwUfHQ_c,665541,36613,402,6701,False,False
825,VaGcPRMY5UM,1683483,80631,2553,4059,False,False
826,5KSEqBzgTSg,25118,536,9,150,False,False
827,gKyysb8HdpY,152430,4684,141,709,False,False
828,WrjrXmIXHzk,245796,23038,130,1142,False,False
829,ui1SquTFnxo,1958143,16662,776,6520,False,False
830,hBvcngHRTFg,1091340,32841,589,1946,False,False
831,sqFVrfinlYk,2250464,157590,6389,18989,False,False
832,y3G-TxZmjqY,744839,5118,555,1524,False,False
833,BhPYVzIBwXE,64388,386,28,52,False,False
834,Qov0jQpHevI,65131,3183,125,600,False,False
835,ZOKwg48mm3c,1028900,5456,741,909,False,False
836,wSDH1rN-xdE,308677,12403,171,2947,False,False
837,E7NdrkKD8Vk,583321,15468,493,4511,False,False
838,NWUg_1qV190,892686,2233,590,248,False,False
839,Zjjb2dG8J2E,207264,2500,116,688,False,False
840,8za_4g5zCOM,828677,26231,722,2657,False,False
841,KKbDaAEz4SA,471662,23823,259,1031,False,False
842,oqqWdaaTq7A,250778,8679,133,1094,False,False
843,3pg9pUSIKtM,660161,4046,889,463,False,False
844,aoY0J5jSbTM,284299,4829,25,227,False,False
845,iiDhBm4TKcs,57297,208,50,23,False,False
846,hGSIbCtDsNo,472574,8406,387,1907,False,False
847,5gy7wSLhJr8,2445849,57790,3188,6388,False,False
848,8y6TW2mk4ZY,126234,1578,203,825,False,False
849,ZxD3o-9H1lY,1032769,33225,6499,30637,False,False
850,Kd1xVG6f2No,1394388,5813,419,2948,False,False
851,BeSbC4YzaFE,1066609,50961,565,2581,False,False
852,jpbozAMyT5s,162546,6322,691,2553,False,False
853,YI6Mu4MDJOA,136731,2937,71,377,False,False
854,02Qhh5Hj8_I,141178,5616,51,650,False,False
855,Nd3zqXro_P0,277307,8300,225,805,False,False
856,4wAu7KaMYPg,835617,47517,1062,3684,False,False
857,EhL2OWXZ26s,2952872,190178,4826,25095,False,False
858,pQrwEEzHZag,255456,38429,183,15105,False,False
859,5n9xafjynJA,1923738,35159,843,5336,False,False
860,6NBgcJxpI9M,113186,3332,199,776,False,False
861,6BJokXg8eLE,732802,28838,943,6820,False,False
862,ig5K9po0Xew,273464,5048,226,117,False,False
863,IB-kpAo7-hk,93169,6791,146,733,False,False
864,CnsSM4fkMlw,148485,11207,39,1171,False,False
865,nznfjVF2JVg,1139264,31098,967,8635,False,False
866,oSEeK9yDNQI,9674889,225274,17340,17130,False,False
867,IjTBcqpl2kc,1904809,45087,5224,0,True,False
868,EF42EeBNwl8,177928,1227,47,34,False,False
869,xG0HmKgwo0c,1995546,16631,753,4698,False,False
870,z2G3R-nT6Vw,115699,1305,70,131,False,False
871,n969zB4AL_0,80004,3079,115,426,False,False
872,Dfga7b66B-g,104187,770,51,378,False,False
873,Y82Cs9CFzTE,180662,11019,458,990,False,False
874,7Q59auc8ctE,554732,15248,325,2055,False,False
875,YalIPUPoWP8,204540,5406,64,1601,False,False
876,DipzS0VH4PA,464123,15737,924,2450,False,False
877,1cjdslm6xMk,115794,6578,52,807,False,False
878,7i6U3lRcClk,74269,984,43,157,False,False
879,wurVR3390l4,476753,45722,458,2703,False,False
880,JpvC3j9Qxus,1747075,28340,8928,44864,False,False
881,k1vHgbTXUik,349431,13465,144,1707,False,False
882,CJRw18MtRPg,1685561,22710,4628,8241,False,False
883,2aQykuIaJVI,2035027,130919,2381,10354,False,False
884,NzxNSF_yS0A,1082138,16490,301,1145,False,False
885,7kWJQCmFjeQ,158743,1099,124,183,False,False
886,WVVUjOulUj8,94277,687,53,212,False,False
887,J3KdH_dg8Ps,10749,549,8,347,False,False
888,m3F07R2-zW4,230204,6474,1126,1095,False,False
889,u_Wkf6DMyE0,1063131,62214,1279,1061,False,False
890,_ng7rqENGOI,176585,1530,156,1433,False,False
891,xW6Zv_1mUh0,221231,7643,98,948,False,False
892,4uTNVumfm84,9732618,360456,7658,17120,False,False
893,Gk-u-CjSIwY,573286,14970,275,2829,False,False
894,sJwHTfczDGw,41218,556,17,0,True,False
895,xbSKIpQIkdI,313560,2612,68,408,False,False
896,WrcwcMIYpQg,463019,40816,185,3074,False,False
897,F9ryLRmaBEM,1237072,26947,534,701,False,False
898,PJNrovkVG1A,83941,1257,95,974,False,False
899,4Zk031l_3OY,182924,416,81,507,False,False
900,II-OP6vdMs8,1187467,17062,25278,9336,False,False
901,7Au5ri3AwUw,13991,1447,16,554,False,False
902,V7LeRxl59M4,205778,689,112,361,False,False
903,S0IZJPtoX8E,161370,6020,288,2113,False,False
904,4b7frX7Os5c,23045,189,18,0,True,False
905,8b2IYk1VmPw,364850,3572,144,441,False,False
906,WWT1-2x3xzc,676181,9955,174,1055,False,False
907,#NAME?,110350,5052,88,1429,False,False
908,RMWTNik9i_8,1424838,71628,1856,6733,False,False
909,yVKw88lmoDA,391984,9610,416,1570,False,False
910,JZf9UPGqcRc,3620658,292416,9471,34252,False,False
911,pRahnxKXyOM,397558,23487,498,4611,False,False
912,vRhNPd7IPfQ,616060,28030,977,1893,False,False
913,EFid2otZi6I,1871577,22859,840,1259,False,False
914,m0_EDgs-5bU,123451,1653,160,337,False,False
915,oFX_Xq9WHTI,670352,48271,1204,9790,False,False
916,dY2jpeasD4w,337788,6006,265,678,False,False
917,CHLBoUz602A,130934,2646,163,964,False,False
918,u2-ACwHEVmQ,15951,79,2,59,False,False
919,BQ31l1gPGKM,10633754,266735,7873,15508,False,False
920,aXUTes4Bx5g,57159,326,56,59,False,False
921,VO-mLV_2lgE,1667466,70959,2665,19946,False,False
922,J5wNnkhT9Ss,73409,846,32,534,False,False
923,dGTNowguxQI,63198,7547,39,839,False,False
924,IpRsvSHGVvs,120926,2036,85,379,False,False
925,9gIOOxlV0Ys,1120572,9089,625,4056,False,False
926,TB6OCCgOXhE,25840,116,48,26,False,False
927,gkznH1SpVec,134235,13802,1114,5453,False,False
928,BM0c2CjomSI,148880,4690,52,940,False,False
929,1cWD_Nm0tNU,219629,3948,64,61,False,False
930,Roqs39twX2Y,346649,10113,412,8188,False,False
931,ggasfCOmQK8,301070,25353,373,2309,False,False
932,ZNUSbxyWpRA,92471,4284,58,2184,False,False
933,yzsKyUGebIQ,415235,12972,542,1938,False,False
934,dkH-Nu23KEo,112192,3981,77,855,False,False
935,bWmpg6p8Cds,216500,11573,143,1758,False,False
936,JcdLF6XQ0iw,9055100,741692,13613,145445,False,False
937,r-g0Er13kcQ,355901,1669,387,347,False,False
938,BMfnoK32XRo,32775,137,13,16,False,False
939,OBM5De3GSks,1238209,12943,495,192,False,False
940,S6rDvbQ-mz4,170416,10665,202,3977,False,False
941,3mOz4x39gtg,282356,854,87,343,False,False
942,pOHQdIDds6s,8834904,386849,350118,156609,False,False
943,QhE64beLG0Q,838776,15506,581,4398,False,False
944,OjeAX4yn2LE,162948,2841,204,406,False,False
945,NJRLWHhLxp0,67217,1854,117,1127,False,False
946,L-ixmHzXl3w,1388115,17378,6835,1517,False,False
947,DP7jov6__gk,456096,5521,162,661,False,False
948,3qugdkzbUP8,19266,61,50,0,False,False
949,TaTleo4cOs8,207532,7473,246,2120,False,False
950,jD83QaWy8LI,1307660,58421,2603,10159,False,False
951,wT_yPn3LfNA,1652691,53530,1641,3921,False,False
952,5NaAwSpswJE,1359682,23024,3677,4125,False,False
